state,year,month,average_temperature
Alabama,1895,1,6.166666666666668
Alabama,1895,2,2.999999999999999
Alabama,1895,3,12.5
Alabama,1895,4,17.444444444444443
Alabama,1895,5,20.833333333333332
Alabama,1895,6,25.27777777777778
Alabama,1895,7,26.22222222222222
Alabama,1895,8,26.38888888888889
Alabama,1895,9,25.444444444444443
Alabama,1895,10,15.38888888888889
Alabama,1895,11,11.777777777777779
Alabama,1895,12,7.166666666666667
Alabama,1896,1,6.388888888888889
Alabama,1896,2,8.722222222222223
Alabama,1896,3,11.38888888888889
Alabama,1896,4,20.0
Alabama,1896,5,24.388888888888893
Alabama,1896,6,25.222222222222225
Alabama,1896,7,27.333333333333332
Alabama,1896,8,27.88888888888889
Alabama,1896,9,24.388888888888893
Alabama,1896,10,17.333333333333332
Alabama,1896,11,14.055555555555554
Alabama,1896,12,8.0
Alabama,1897,1,5.444444444444443
Alabama,1897,2,10.61111111111111
Alabama,1897,3,15.666666666666666
Alabama,1897,4,16.88888888888889
Alabama,1897,5,20.555555555555557
Alabama,1897,6,27.333333333333332
Alabama,1897,7,27.5
Alabama,1897,8,26.0
Alabama,1897,9,24.222222222222218
Alabama,1897,10,19.499999999999996
Alabama,1897,11,12.333333333333336
Alabama,1897,12,8.555555555555555
Alabama,1898,1,9.444444444444445
Alabama,1898,2,7.833333333333333
Alabama,1898,3,15.11111111111111
Alabama,1898,4,14.88888888888889
Alabama,1898,5,23.388888888888886
Alabama,1898,6,26.888888888888893
Alabama,1898,7,26.666666666666668
Alabama,1898,8,26.0
Alabama,1898,9,24.0
Alabama,1898,10,16.11111111111111
Alabama,1898,11,9.888888888888888
Alabama,1898,12,6.333333333333332
Alabama,1899,1,6.555555555555554
Alabama,1899,2,4.444444444444445
Alabama,1899,3,13.11111111111111
Alabama,1899,4,16.5
Alabama,1899,5,24.499999999999996
Alabama,1899,6,26.611111111111114
Alabama,1899,7,26.888888888888893
Alabama,1899,8,27.16666666666667
Alabama,1899,9,22.666666666666668
Alabama,1899,10,18.88888888888889
Alabama,1899,11,12.944444444444443
Alabama,1899,12,7.055555555555557
Alabama,1900,1,6.4444444444444455
Alabama,1900,2,6.888888888888888
Alabama,1900,3,11.61111111111111
Alabama,1900,4,17.88888888888889
Alabama,1900,5,21.888888888888893
Alabama,1900,6,24.61111111111111
Alabama,1900,7,26.555555555555557
Alabama,1900,8,27.333333333333332
Alabama,1900,9,25.33333333333333
Alabama,1900,10,20.11111111111111
Alabama,1900,11,12.611111111111112
Alabama,1900,12,8.11111111111111
Alabama,1901,1,7.777777777777778
Alabama,1901,2,6.166666666666668
Alabama,1901,3,11.833333333333332
Alabama,1901,4,14.5
Alabama,1901,5,21.444444444444443
Alabama,1901,6,26.0
Alabama,1901,7,28.000000000000004
Alabama,1901,8,25.944444444444443
Alabama,1901,9,22.444444444444446
Alabama,1901,10,16.944444444444443
Alabama,1901,11,9.277777777777779
Alabama,1901,12,5.611111111111112
Alabama,1902,1,6.222222222222224
Alabama,1902,2,4.8888888888888875
Alabama,1902,3,12.833333333333334
Alabama,1902,4,16.72222222222222
Alabama,1902,5,24.27777777777778
Alabama,1902,6,27.333333333333332
Alabama,1902,7,28.388888888888886
Alabama,1902,8,27.944444444444443
Alabama,1902,9,23.111111111111107
Alabama,1902,10,17.27777777777778
Alabama,1902,11,14.222222222222221
Alabama,1902,12,7.333333333333335
Alabama,1903,1,6.333333333333332
Alabama,1903,2,9.000000000000002
Alabama,1903,3,15.277777777777779
Alabama,1903,4,16.166666666666668
Alabama,1903,5,21.0
Alabama,1903,6,23.111111111111107
Alabama,1903,7,26.888888888888893
Alabama,1903,8,26.999999999999996
Alabama,1903,9,22.88888888888889
Alabama,1903,10,17.333333333333332
Alabama,1903,11,10.333333333333334
Alabama,1903,12,4.500000000000001
Alabama,1904,1,5.055555555555556
Alabama,1904,2,9.38888888888889
Alabama,1904,3,14.5
Alabama,1904,4,15.555555555555555
Alabama,1904,5,21.22222222222222
Alabama,1904,6,25.611111111111107
Alabama,1904,7,25.888888888888886
Alabama,1904,8,25.888888888888886
Alabama,1904,9,25.0
Alabama,1904,10,18.111111111111107
Alabama,1904,11,11.166666666666666
Alabama,1904,12,7.722222222222222
Alabama,1905,1,3.6666666666666674
Alabama,1905,2,3.944444444444445
Alabama,1905,3,15.055555555555555
Alabama,1905,4,17.61111111111111
Alabama,1905,5,23.61111111111111
Alabama,1905,6,26.333333333333336
Alabama,1905,7,26.555555555555557
Alabama,1905,8,26.333333333333336
Alabama,1905,9,24.555555555555557
Alabama,1905,10,17.61111111111111
Alabama,1905,11,13.0
Alabama,1905,12,5.944444444444446
Alabama,1906,1,7.88888888888889
Alabama,1906,2,7.277777777777778
Alabama,1906,3,10.5
Alabama,1906,4,18.277777777777782
Alabama,1906,5,21.055555555555557
Alabama,1906,6,26.166666666666664
Alabama,1906,7,26.22222222222222
Alabama,1906,8,26.944444444444443
Alabama,1906,9,25.72222222222222
Alabama,1906,10,15.88888888888889
Alabama,1906,11,12.777777777777779
Alabama,1906,12,9.777777777777779
Alabama,1907,1,12.0
Alabama,1907,2,9.055555555555554
Alabama,1907,3,17.944444444444443
Alabama,1907,4,14.5
Alabama,1907,5,20.166666666666668
Alabama,1907,6,24.222222222222218
Alabama,1907,7,27.333333333333332
Alabama,1907,8,26.944444444444443
Alabama,1907,9,24.0
Alabama,1907,10,17.38888888888889
Alabama,1907,11,10.555555555555555
Alabama,1907,12,7.3888888888888875
Alabama,1908,1,6.333333333333332
Alabama,1908,2,6.666666666666667
Alabama,1908,3,16.77777777777778
Alabama,1908,4,19.66666666666667
Alabama,1908,5,22.11111111111111
Alabama,1908,6,25.555555555555557
Alabama,1908,7,26.833333333333332
Alabama,1908,8,26.5
Alabama,1908,9,23.61111111111111
Alabama,1908,10,15.722222222222221
Alabama,1908,11,13.777777777777777
Alabama,1908,12,10.055555555555555
Alabama,1909,1,9.777777777777779
Alabama,1909,2,10.111111111111112
Alabama,1909,3,13.277777777777779
Alabama,1909,4,17.27777777777778
Alabama,1909,5,20.555555555555557
Alabama,1909,6,25.666666666666668
Alabama,1909,7,26.888888888888893
Alabama,1909,8,27.22222222222222
Alabama,1909,9,24.055555555555557
Alabama,1909,10,17.333333333333332
Alabama,1909,11,15.277777777777779
Alabama,1909,12,4.8888888888888875
Alabama,1910,1,7.3888888888888875
Alabama,1910,2,7.166666666666667
Alabama,1910,3,15.88888888888889
Alabama,1910,4,16.5
Alabama,1910,5,20.555555555555557
Alabama,1910,6,24.166666666666668
Alabama,1910,7,26.0
Alabama,1910,8,26.444444444444443
Alabama,1910,9,25.222222222222225
Alabama,1910,10,19.111111111111114
Alabama,1910,11,10.5
Alabama,1910,12,5.499999999999999
Alabama,1911,1,9.944444444444445
Alabama,1911,2,12.333333333333336
Alabama,1911,3,14.277777777777779
Alabama,1911,4,17.5
Alabama,1911,5,22.61111111111111
Alabama,1911,6,27.055555555555557
Alabama,1911,7,25.611111111111107
Alabama,1911,8,26.11111111111111
Alabama,1911,9,26.77777777777778
Alabama,1911,10,20.27777777777778
Alabama,1911,11,10.055555555555555
Alabama,1911,12,9.611111111111109
Alabama,1912,1,4.555555555555557
Alabama,1912,2,5.944444444444446
Alabama,1912,3,11.277777777777777
Alabama,1912,4,18.000000000000004
Alabama,1912,5,22.22222222222222
Alabama,1912,6,23.944444444444443
Alabama,1912,7,26.5
Alabama,1912,8,26.166666666666664
Alabama,1912,9,24.944444444444446
Alabama,1912,10,18.833333333333336
Alabama,1912,11,10.111111111111112
Alabama,1912,12,8.277777777777779
Alabama,1913,1,10.666666666666668
Alabama,1913,2,8.222222222222221
Alabama,1913,3,12.777777777777779
Alabama,1913,4,16.666666666666668
Alabama,1913,5,21.888888888888893
Alabama,1913,6,25.444444444444443
Alabama,1913,7,27.38888888888889
Alabama,1913,8,26.999999999999996
Alabama,1913,9,22.88888888888889
Alabama,1913,10,16.0
Alabama,1913,11,13.222222222222221
Alabama,1913,12,8.555555555555555
Alabama,1914,1,8.333333333333334
Alabama,1914,2,7.444444444444445
Alabama,1914,3,10.0
Alabama,1914,4,17.666666666666668
Alabama,1914,5,21.999999999999996
Alabama,1914,6,28.388888888888886
Alabama,1914,7,27.666666666666668
Alabama,1914,8,26.22222222222222
Alabama,1914,9,22.88888888888889
Alabama,1914,10,17.666666666666668
Alabama,1914,11,11.277777777777777
Alabama,1914,12,5.999999999999998
Alabama,1915,1,5.833333333333333
Alabama,1915,2,8.777777777777777
Alabama,1915,3,8.0
Alabama,1915,4,17.944444444444443
Alabama,1915,5,23.5
Alabama,1915,6,25.833333333333332
Alabama,1915,7,26.888888888888893
Alabama,1915,8,26.166666666666664
Alabama,1915,9,24.66666666666667
Alabama,1915,10,19.055555555555557
Alabama,1915,11,13.499999999999998
Alabama,1915,12,7.833333333333333
Alabama,1916,1,10.999999999999998
Alabama,1916,2,8.222222222222221
Alabama,1916,3,12.111111111111109
Alabama,1916,4,16.555555555555557
Alabama,1916,5,22.77777777777778
Alabama,1916,6,25.055555555555554
Alabama,1916,7,25.888888888888886
Alabama,1916,8,26.555555555555557
Alabama,1916,9,23.111111111111107
Alabama,1916,10,17.88888888888889
Alabama,1916,11,12.222222222222221
Alabama,1916,12,8.222222222222221
Alabama,1917,1,9.833333333333336
Alabama,1917,2,9.11111111111111
Alabama,1917,3,13.555555555555555
Alabama,1917,4,17.555555555555557
Alabama,1917,5,18.88888888888889
Alabama,1917,6,25.444444444444443
Alabama,1917,7,26.555555555555557
Alabama,1917,8,25.777777777777782
Alabama,1917,9,22.88888888888889
Alabama,1917,10,14.722222222222221
Alabama,1917,11,10.333333333333334
Alabama,1917,12,4.333333333333332
Alabama,1918,1,2.999999999999999
Alabama,1918,2,11.777777777777779
Alabama,1918,3,16.555555555555557
Alabama,1918,4,16.055555555555557
Alabama,1918,5,22.555555555555554
Alabama,1918,6,26.444444444444443
Alabama,1918,7,25.666666666666668
Alabama,1918,8,26.833333333333332
Alabama,1918,9,21.333333333333336
Alabama,1918,10,20.33333333333333
Alabama,1918,11,11.444444444444445
Alabama,1918,12,9.888888888888888
Alabama,1919,1,6.666666666666667
Alabama,1919,2,8.61111111111111
Alabama,1919,3,13.38888888888889
Alabama,1919,4,16.833333333333332
Alabama,1919,5,20.555555555555557
Alabama,1919,6,25.666666666666668
Alabama,1919,7,26.5
Alabama,1919,8,26.22222222222222
Alabama,1919,9,23.944444444444443
Alabama,1919,10,23.333333333333332
Alabama,1919,11,13.88888888888889
Alabama,1919,12,8.333333333333334
Alabama,1920,1,8.277777777777779
Alabama,1920,2,7.88888888888889
Alabama,1920,3,11.166666666666666
Alabama,1920,4,16.77777777777778
Alabama,1920,5,21.333333333333336
Alabama,1920,6,24.944444444444446
Alabama,1920,7,26.333333333333336
Alabama,1920,8,25.33333333333333
Alabama,1920,9,24.88888888888889
Alabama,1920,10,17.666666666666668
Alabama,1920,11,10.333333333333334
Alabama,1920,12,7.055555555555557
Alabama,1921,1,9.611111111111109
Alabama,1921,2,10.166666666666664
Alabama,1921,3,17.444444444444443
Alabama,1921,4,16.555555555555557
Alabama,1921,5,21.055555555555557
Alabama,1921,6,26.944444444444443
Alabama,1921,7,27.444444444444446
Alabama,1921,8,26.888888888888893
Alabama,1921,9,27.16666666666667
Alabama,1921,10,16.88888888888889
Alabama,1921,11,14.222222222222221
Alabama,1921,12,10.333333333333334
Alabama,1922,1,8.0
Alabama,1922,2,12.111111111111109
Alabama,1922,3,13.0
Alabama,1922,4,19.055555555555557
Alabama,1922,5,21.999999999999996
Alabama,1922,6,25.833333333333332
Alabama,1922,7,26.555555555555557
Alabama,1922,8,26.0
Alabama,1922,9,25.0
Alabama,1922,10,18.111111111111107
Alabama,1922,11,13.61111111111111
Alabama,1922,12,11.833333333333332
Alabama,1923,1,10.5
Alabama,1923,2,8.222222222222221
Alabama,1923,3,12.333333333333336
Alabama,1923,4,17.11111111111111
