year,state,population,in_poverty,poverty_rate,median_household_income,deep_poverty_rate,median_rent,unemployment_rate,without_health_insurance,supplemental_poverty_measure
2015,Alabama,4711439,887260,0.1883203836449967,44765.0,0.0817312927112077,717,0.072,0.126565491582147,0.1849565898343718
2015,Alaska,716218,72957,0.1018642368664289,73355.0,0.045240415627644,1146,0.079,0.1818038282503334,0.1034067969449127
2015,Arizona,6488917,1180690,0.181954862421572,51492.0,0.0854329004362361,913,0.069,0.150360855093335,0.1737251572124367
2015,Arkansas,2872497,553644,0.1927396268821168,41995.0,0.0796533468964458,677,0.0579999999999999,0.1416198510735775,0.1906628841732018
2015,California,37678735,6135142,0.1628277063972556,64500.0,0.0706343777199526,1255,0.073,0.1470193904291566,0.1534368783295467
2015,Colorado,5161722,653969,0.1266958972218961,63909.0,0.0566483433241852,1002,0.052,0.1231587900557023,0.114905036277876
2015,Connecticut,3483303,366351,0.1051734517496755,71346.0,0.0489805222227294,1075,0.069,0.0790225171035203,0.1054053914296516
2015,Delaware,900820,108315,0.1202404475921937,61255.0,0.0586454563619813,1018,0.0579999999999999,0.0823733148495044,0.1242564010626334
2015,Florida,19228208,3180109,0.1653876949947701,49426.0,0.0725797224577558,1002,0.07,0.1796967714407623,0.1570215375736509
2015,Georgia,9737146,1788947,0.1837239577182061,51244.0,0.0833605658167187,879,0.071,0.1712114231241586,0.1704679957900644
2015,Hawaii,1369085,153944,0.1124429819916221,73486.0,0.0547197580866052,1438,0.049,0.0593197027396753,0.1061486054653792
2015,Idaho,1584410,245177,0.1547434060628246,48275.0,0.0629836974015564,743,0.054,0.147130259978544,0.1513769668753652
2015,Illinois,12571110,1801118,0.1432743807030564,59588.0,0.065597866855035,907,0.069,0.11017884984541,0.1356159543010817
2015,Indiana,6367947,978043,0.1535884328183007,50532.0,0.0709318089487867,745,0.0579999999999999,0.1280486334442424,0.1454137785632789
2015,Iowa,2992774,373883,0.1249285779681325,54736.0,0.0556025947833013,697,0.042,0.0730381059110093,0.1215868699126322
2015,Kansas,2810222,381353,0.13570209043983,53906.0,0.0574580940580495,757,0.047,0.1122559522801312,0.1303025175710002
2015,Kentucky,4263217,805841,0.1890218114630336,45215.0,0.0807155723013864,675,0.065,0.1136908491599953,0.1850934563971933
2015,Louisiana,4494987,888280,0.197615699444737,45727.0,0.0889355186121784,788,0.071,0.1547397438636109,0.1959504924160356
2015,Maine,1293513,180278,0.1393708451325962,51494.0,0.0534799418328227,777,0.054,0.100416481597537,0.1335038932835059
2015,Maryland,5789228,576805,0.0996341826578604,75847.0,0.0480590849073486,1230,0.055,0.0896172414230287,0.0973473936987595
2015,Massachusetts,6471313,748905,0.1157269011713697,70628.0,0.0534461862685362,1102,0.0579999999999999,0.0356021816092536,0.1146672736953102
2015,Michigan,9678203,1616870,0.167063038458689,51084.0,0.0763653128581824,783,0.072,0.0963558104410548,0.1577214417724333
2015,Minnesota,5295613,596662,0.1126709976729795,63488.0,0.04862874231935,848,0.042,0.0703375819667773,0.101820819685633
2015,Mississippi,2890915,651545,0.225376740582134,40593.0,0.1011482523699244,717,0.089,0.1582187937856811,0.2199587858642902
2015,Missouri,5863113,915972,0.1562262231684772,50238.0,0.0684753986491476,746,0.053,0.1224676352042807,0.1483395281606962
2015,Montana,989932,150586,0.1521175191831358,49509.0,0.064234715111745,711,0.045,0.15538929137231,0.1461576399163662
2015,Nebraska,1815585,231115,0.127295059168257,54996.0,0.0533398326159337,726,0.032,0.1027201409719196,0.1255349539421343
2015,Nevada,2759180,426337,0.1545158344145724,52431.0,0.0702389840459846,973,0.079,0.1829333864022868,0.1467276296697529
2015,New Hampshire,1283292,113840,0.0887093506388257,70303.0,0.039331656396206,1000,0.042,0.0932365817531245,0.0823300156824992
2015,New Jersey,8728868,944847,0.1082439326611423,72222.0,0.0493582902158676,1192,0.066,0.1163460353563716,0.1077385320970327
2015,New Mexico,2043677,429361,0.2100923971840951,45382.0,0.0926692427423707,777,0.074,0.1640955612084098,0.2043766700857109
2015,New York,19164034,3005943,0.1568533535267157,60850.0,0.069406472562092,1132,0.065,0.0966191922607916,0.1540171385521176
2015,North Carolina,9592619,1667465,0.1738279191532573,47830.0,0.0756451392471649,797,0.069,0.1440641203381775,0.1642311553754502
2015,North Dakota,696195,79758,0.1145627302695365,60557.0,0.0545680448724854,709,0.026,0.0908415179235091,0.1096185978336072
2015,Ohio,11258461,1775836,0.1577334593067383,51075.0,0.0730495047236029,730,0.064,0.0972213464701119,0.1482394509594222
2015,Oklahoma,3734458,624043,0.1671040349094835,48568.0,0.072308752702534,727,0.055,0.1665611406784374,0.1609235979897591
2015,Oregon,3862756,636947,0.1648944432420789,54148.0,0.0726279371516088,907,0.068,0.1231371951852595,0.1535974628024707
2015,Pennsylvania,12365782,1666569,0.1347726330611359,55702.0,0.0604544864206727,840,0.063,0.0880052688299278,0.1316028076212953
2015,Rhode Island,1013455,144223,0.1423082425958725,58073.0,0.0626184685062484,925,0.062,0.0926449760581156,0.1387671288137961
2015,South Carolina,4636314,830901,0.1792158598403818,47238.0,0.0807701980495712,790,0.073,0.1453543287567721,0.1664612693846755
2015,South Dakota,814079,114907,0.1411496918603722,53017.0,0.061958360306555,655,0.04,0.1102572240540953,0.1374939130518632
2015,Tennessee,6339352,1117594,0.1762946749131457,47275.0,0.0762044764196719,764,0.062,0.1280378014237277,0.1673658747828738
2015,Texas,25923852,4472451,0.1725226251098795,55653.0,0.0717907199902236,882,0.055,0.2058129189867207,0.1585146696536564
