year,state,population,in_poverty,poverty_rate,median_household_income,deep_poverty_rate,median_rent,unemployment_rate,without_health_insurance,supplemental_poverty_measure
2015,Alabama,4711439,887260,0.18832038364499679,44765.0,0.08173129271120777,717,0.07200000000000001,0.12656549158214708,0.18495658983437185
2015,Alaska,716218,72957,0.10186423686642894,73355.0,0.045240415627644096,1146,0.079,0.1818038282503334,0.1034067969449127
2015,Arizona,6488917,1180690,0.18195486242157205,51492.0,0.08543290043623612,913,0.069,0.150360855093335,0.1737251572124367
2015,Arkansas,2872497,553644,0.19273962688211685,41995.0,0.07965334689644585,677,0.057999999999999996,0.14161985107357755,0.19066288417320182
2015,California,37678735,6135142,0.16282770639725563,64500.0,0.07063437771995265,1255,0.073,0.14701939042915663,0.15343687832954672
2015,Colorado,5161722,653969,0.12669589722189611,63909.0,0.056648343324185224,1002,0.052000000000000005,0.12315879005570235,0.11490503627787606
2015,Connecticut,3483303,366351,0.10517345174967552,71346.0,0.0489805222227294,1075,0.069,0.07902251710352035,0.1054053914296516
2015,Delaware,900820,108315,0.12024044759219378,61255.0,0.058645456361981305,1018,0.057999999999999996,0.08237331484950448,0.12425640106263344
2015,Florida,19228208,3180109,0.16538769499477018,49426.0,0.07257972245775582,1002,0.07,0.17969677144076235,0.15702153757365092
2015,Georgia,9737146,1788947,0.18372395771820613,51244.0,0.08336056581671877,879,0.071,0.17121142312415866,0.1704679957900644
2015,Hawaii,1369085,153944,0.11244298199162214,73486.0,0.054719758086605286,1438,0.049,0.05931970273967538,0.10614860546537926
2015,Idaho,1584410,245177,0.15474340606282463,48275.0,0.06298369740155642,743,0.054000000000000006,0.147130259978544,0.15137696687536525
2015,Illinois,12571110,1801118,0.14327438070305645,59588.0,0.06559786685503508,907,0.069,0.11017884984541,0.1356159543010817
2015,Indiana,6367947,978043,0.15358843281830079,50532.0,0.07093180894878678,745,0.057999999999999996,0.1280486334442424,0.1454137785632789
2015,Iowa,2992774,373883,0.12492857796813257,54736.0,0.05560259478330138,697,0.042,0.07303810591100936,0.1215868699126322
2015,Kansas,2810222,381353,0.13570209043983003,53906.0,0.057458094058049504,757,0.047,0.11225595228013122,0.1303025175710002
2015,Kentucky,4263217,805841,0.18902181146303368,45215.0,0.08071557230138648,675,0.065,0.11369084915999535,0.1850934563971933
2015,Louisiana,4494987,888280,0.197615699444737,45727.0,0.08893551861217841,788,0.071,0.15473974386361095,0.19595049241603563
2015,Maine,1293513,180278,0.13937084513259626,51494.0,0.05347994183282271,777,0.054000000000000006,0.10041648159753701,0.1335038932835059
2015,Maryland,5789228,576805,0.09963418265786042,75847.0,0.048059084907348615,1230,0.055,0.0896172414230287,0.09734739369875957
2015,Massachusetts,6471313,748905,0.1157269011713697,70628.0,0.05344618626853623,1102,0.057999999999999996,0.03560218160925367,0.11466727369531024
2015,Michigan,9678203,1616870,0.16706303845868908,51084.0,0.07636531285818246,783,0.07200000000000001,0.09635581044105486,0.1577214417724333
2015,Minnesota,5295613,596662,0.1126709976729795,63488.0,0.04862874231935,848,0.042,0.07033758196677735,0.10182081968563302
2015,Mississippi,2890915,651545,0.22537674058213403,40593.0,0.1011482523699244,717,0.08900000000000001,0.1582187937856811,0.21995878586429024
2015,Missouri,5863113,915972,0.15622622316847723,50238.0,0.06847539864914765,746,0.053,0.12246763520428072,0.14833952816069626
2015,Montana,989932,150586,0.15211751918313582,49509.0,0.06423471511174506,711,0.045,0.15538929137231,0.14615763991636624
2015,Nebraska,1815585,231115,0.12729505916825706,54996.0,0.05333983261593371,726,0.032,0.10272014097191969,0.12553495394213435
2015,Nevada,2759180,426337,0.15451583441457245,52431.0,0.07023898404598468,973,0.079,0.1829333864022868,0.14672762966975295
2015,New Hampshire,1283292,113840,0.08870935063882578,70303.0,0.039331656396206005,1000,0.042,0.09323658175312458,0.08233001568249926
2015,New Jersey,8728868,944847,0.10824393266114231,72222.0,0.04935829021586762,1192,0.066,0.11634603535637161,0.10773853209703271
2015,New Mexico,2043677,429361,0.21009239718409514,45382.0,0.09266924274237073,777,0.07400000000000001,0.16409556120840982,0.2043766700857109
2015,New York,19164034,3005943,0.15685335352671573,60850.0,0.06940647256209209,1132,0.065,0.09661919226079164,0.1540171385521176
2015,North Carolina,9592619,1667465,0.17382791915325732,47830.0,0.07564513924716493,797,0.069,0.14406412033817753,0.16423115537545022
2015,North Dakota,696195,79758,0.11456273026953655,60557.0,0.05456804487248544,709,0.026000000000000002,0.09084151792350918,0.10961859783360725
2015,Ohio,11258461,1775836,0.1577334593067383,51075.0,0.07304950472360298,730,0.064,0.09722134647011194,0.1482394509594222
2015,Oklahoma,3734458,624043,0.16710403490948353,48568.0,0.07230875270253408,727,0.055,0.16656114067843747,0.1609235979897591
2015,Oregon,3862756,636947,0.16489444324207897,54148.0,0.07262793715160885,907,0.068,0.12313719518525953,0.1535974628024707
2015,Pennsylvania,12365782,1666569,0.13477263306113596,55702.0,0.06045448642067279,840,0.063,0.08800526882992787,0.13160280762129536
2015,Rhode Island,1013455,144223,0.14230824259587255,58073.0,0.06261846850624843,925,0.062,0.09264497605811567,0.13876712881379613
2015,South Carolina,4636314,830901,0.17921585984038182,47238.0,0.08077019804957128,790,0.073,0.1453543287567721,0.1664612693846755
2015,South Dakota,814079,114907,0.14114969186037227,53017.0,0.061958360306555015,655,0.04,0.11025722405409531,0.1374939130518632
2015,Tennessee,6339352,1117594,0.1762946749131457,47275.0,0.07620447641967192,764,0.062,0.12803780142372775,0.16736587478287387
