state,year,n_incidents,average_temperature,average_precipitation,poverty_rate,lawtotal,laws_1,laws_2,laws_3,laws_4,laws_5,laws_6,laws_7,laws_8,laws_9,laws_10,laws_11,laws_12,laws_13,laws_14
Montana,2016,13.162205447615863,7.013888888888889,0.4480983333333333,0.1489280927644007,4.0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
Montana,2017,14.347038714201288,6.208333333333333,0.368935,0.1435360119130569,4.0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
Nebraska,2015,18.611763374693393,10.449074074074074,0.5941483333333334,0.127295059168257,22.0,0,3,1,2,0,3,5,0,0,1,1,2,1,3
Nebraska,2016,18.89152903837919,10.916666666666666,0.5357283333333333,0.1242459053268103,22.0,0,3,1,2,0,3,5,0,0,1,1,2,1,3
Nebraska,2017,21.869080929691687,10.375,0.5363633333333333,0.1197559550500727,22.0,0,3,1,2,0,3,5,0,0,1,1,2,1,3
Nevada,2015,15.452020430152158,11.606481481481481,0.24003,0.1545158344145724,15.0,0,0,5,0,1,2,5,0,0,0,0,0,0,2
Nevada,2016,17.206140878534583,11.074074074074074,0.23600833333333335,0.1490979413216091,15.0,0,0,5,0,1,2,5,0,0,0,0,0,0,2
Nevada,2017,13.73781316237388,11.231481481481481,0.23643166666666668,0.1423791397097701,21.0,0,0,5,6,1,2,5,0,0,0,0,0,0,2
New Hampshire,2015,14.96613911026303,6.453703703703705,0.931545,0.0887093506388257,10.0,1,0,0,0,0,0,1,0,3,0,0,0,0,5
New Hampshire,2016,19.59313331451002,7.62962962962963,0.837565,0.0853328478953071,10.0,1,0,0,0,0,0,1,0,3,0,0,0,0,5
New Hampshire,2017,14.828138171557109,7.185185185185184,1.0407650000000002,0.0810312932662661,9.0,1,0,0,0,0,0,0,0,3,0,0,0,0,5
New Jersey,2015,11.47954278943192,12.148148148148147,0.92837,0.1082439326611423,67.0,8,10,4,5,2,7,7,5,6,1,1,3,1,7
New Jersey,2016,13.14420853884311,12.75,0.8379883333333334,0.1086319601037091,67.0,8,10,4,5,2,7,7,5,6,1,1,3,1,7
New Jersey,2017,14.349180267907638,12.550925925925926,0.9508066666666667,0.1068138860374255,75.0,8,10,4,5,2,7,7,5,6,1,1,3,1,15
New Mexico,2015,17.565767525921473,12.745370370370368,0.40915166666666664,0.2100923971840951,10.0,0,0,1,0,0,3,4,0,0,0,1,0,1,0
New Mexico,2016,17.641743520603548,13.069444444444445,0.2738966666666667,0.2090161967547724,10.0,0,0,1,0,0,3,4,0,0,0,1,0,1,0
New Mexico,2017,20.26977928887495,13.546296296296298,0.3132666666666667,0.2056332611835435,10.0,0,0,1,0,0,3,4,0,0,0,1,0,1,0
New York,2015,14.144224073815348,7.606481481481481,0.8602133333333333,0.1568533535267157,74.0,5,7,7,8,2,6,6,8,2,2,1,3,1,16
New York,2016,12.213863009556965,8.689814814814815,0.8079316666666667,0.1546729078640525,74.0,5,7,7,8,2,6,6,8,2,2,1,3,1,16
New York,2017,9.831761510664961,8.287037037037036,1.0028766666666666,0.1508116897258492,74.0,5,7,7,8,2,6,6,8,2,2,1,3,1,16
North Carolina,2015,17.43482575043019,15.842592592592593,1.23444,0.1738279191532573,30.0,1,2,1,4,0,3,5,0,4,0,0,0,0,10
North Carolina,2016,19.399715680918206,16.02314814814815,1.071245,0.1684685506009956,30.0,1,2,1,4,0,3,5,0,4,0,0,0,0,10
North Carolina,2017,19.574935629138917,16.11111111111111,1.0151533333333334,0.161479283275983,30.0,1,2,1,4,0,3,5,0,4,0,0,0,0,10
North Dakota,2015,18.963857275092632,6.319444444444444,0.37507333333333337,0.1145627302695365,14.0,0,0,5,0,0,2,4,0,0,2,1,0,0,0
North Dakota,2016,19.219706428925527,6.87037037037037,0.4624916666666667,0.1116540321388601,14.0,0,0,5,0,0,2,4,0,0,2,1,0,0,0
North Dakota,2017,17.219865896982814,5.560185185185184,0.274955,0.1102842486404472,10.0,0,0,5,0,0,2,0,0,0,2,1,0,0,0
Ohio,2015,17.215367780079188,10.898148148148147,0.9103783333333334,0.1577334593067383,16.0,0,3,3,0,0,1,5,0,0,2,1,0,0,1
Ohio,2016,19.786202432963712,11.986111111111112,0.7914216666666668,0.153790903039716,16.0,0,3,3,0,0,1,5,0,0,2,1,0,0,1
Ohio,2017,21.741647476553755,11.791666666666666,0.963295,0.1491598888526791,16.0,0,3,3,0,0,1,5,0,0,2,1,0,0,1
Oklahoma,2015,20.00255787185062,16.01388888888889,1.1370733333333332,0.1671040349094835,9.0,0,1,1,0,0,2,4,0,0,0,0,0,0,1
Oklahoma,2016,21.394018996360725,16.837962962962962,0.6601883333333333,0.1651986010824324,9.0,0,1,1,0,0,2,4,0,0,0,0,0,0,1
Oklahoma,2017,20.502040538079363,16.560185185185187,0.8172449999999999,0.1620581523412332,9.0,0,1,1,0,0,2,4,0,0,0,0,0,0,1
Oregon,2015,15.912178718419678,10.199074074074074,0.6385983333333334,0.1648944432420789,33.0,9,2,5,10,0,1,4,0,0,0,1,0,1,0
Oregon,2016,12.37171073864492,9.314814814814815,0.73406,0.1572758749071154,35.0,9,2,5,10,0,1,4,0,0,0,1,0,1,2
Oregon,2017,11.48752601888443,8.907407407407407,0.7666566666666667,0.15444057338550463,35.0,9,2,5,10,0,1,4,0,0,0,1,0,1,2
Pennsylvania,2015,12.991964067403028,9.699074074074074,0.9122833333333333,0.1347726330611359,37.0,10,3,5,6,0,1,5,0,1,1,0,0,0,5
Pennsylvania,2016,16.053480307691704,10.518518518518519,0.8255,0.1332098485076927,37.0,10,3,5,6,0,1,5,0,1,1,0,0,0,5
Pennsylvania,2017,15.859062668399902,10.337962962962964,0.9865783333333334,0.1311710492095538,37.0,10,3,5,6,0,1,5,0,1,1,0,0,0,5
Rhode Island,2015,20.547977633952453,10.24074074074074,0.8652933333333334,0.1423082425958725,42.0,8,9,3,9,1,3,3,0,4,0,1,0,1,0
Rhode Island,2016,21.859061101280314,11.226851851851853,0.8733366666666668,0.1382372898741118,42.0,8,9,3,9,1,3,3,0,4,0,1,0,1,0
Rhode Island,2017,17.524365973175406,10.851851851851853,1.039495,0.1339924384033042,52.0,8,9,3,9,1,3,3,0,4,0,1,0,1,10
South Carolina,2015,32.849966618546674,18.050925925925927,1.28397,0.1792158598403818,12.0,0,0,3,0,0,5,4,0,0,0,0,0,0,0
South Carolina,2016,28.318052879728146,18.25462962962963,0.9789583333333334,0.1718253344259626,12.0,0,0,3,0,0,5,4,0,0,0,0,0,0,0
South Carolina,2017,32.3822588238668,18.37037037037037,0.9857316666666667,0.166406985811386,12.0,0,0,3,0,0,5,4,0,0,0,0,0,0,0
South Dakota,2015,11.47557108530799,8.629629629629628,0.48217666666666664,0.1411496918603722,5.0,0,0,1,0,0,0,3,0,0,0,0,0,0,1
South Dakota,2016,16.222554913348382,9.083333333333334,0.43772666666666665,0.1402106686577473,5.0,0,0,1,0,0,0,3,0,0,0,0,0,0,1
South Dakota,2017,21.652758492693053,8.203703703703704,0.3731683333333333,0.1390359640661893,5.0,0,0,1,0,0,0,3,0,0,0,0,0,0,1
Tennessee,2015,25.245897162415776,15.018518518518519,1.25222,0.1762946749131457,24.0,4,1,4,0,0,5,3,0,0,0,0,0,0,7
Tennessee,2016,28.90456078158173,15.722222222222221,0.99568,0.172258007240301,22.0,4,1,4,0,0,3,3,0,0,0,0,0,0,7
Tennessee,2017,26.32363855289151,15.537037037037036,1.18999,0.1666034604288816,22.0,4,1,4,0,0,3,3,0,0,0,0,0,0,7
Texas,2015,11.095718188561392,18.77777777777778,0.8727016666666668,0.1725226251098795,20.0,0,1,1,0,0,5,4,0,4,0,0,0,0,5
Texas,2016,11.99380534999665,19.527777777777775,0.67945,0.1669820826721951,18.0,0,1,1,0,0,3,4,0,4,0,0,0,0,5
Texas,2017,9.284236275083828,19.62037037037037,0.6409266666666666,0.1601609423054946,18.0,0,1,1,0,0,3,4,0,4,0,0,0,0,5
Utah,2015,10.362746429631418,10.407407407407407,0.32617833333333335,0.1231135165721316,11.0,0,0,3,0,0,2,3,0,0,2,0,0,0,1
Utah,2016,7.659766958987043,10.12962962962963,0.29718,0.116771355160238,11.0,0,0,3,0,0,2,3,0,0,2,0,0,0,1
Utah,2017,6.771917310375029,10.398148148148147,0.27156833333333336,0.1102433657524628,13.0,0,0,3,0,0,2,3,0,0,2,0,0,0,3
Vermont,2015,17.433974818302797,5.907407407407407,0.8983133333333334,0.1150562044232316,6.0,1,0,0,0,0,0,0,0,0,0,1,0,1,3
Vermont,2016,14.11032025616645,7.027777777777779,0.8174566666666667,0.1158247691750147,6.0,1,0,0,0,0,0,0,0,0,0,1,0,1,3
Vermont,2017,10.731263534205503,6.555555555555556,0.9800166666666668,0.1135492987317684,6.0,1,0,0,0,0,0,0,0,0,0,1,0,1,3
Virginia,2015,15.044593226728,13.629629629629628,1.0532533333333334,0.1151119186318766,12.0,0,0,4,0,0,1,4,0,0,2,1,0,0,0
Virginia,2016,17.63354706825336,13.953703703703704,0.9611783333333334,0.1143377184559723,13.0,0,0,4,0,0,1,4,0,0,2,1,0,0,1
Virginia,2017,16.399666004496677,14.060185185185185,0.8796866666666667,0.1117328086169147,13.0,0,0,4,0,0,1,4,0,0,2,1,0,0,1
Washington,2015,11.935244805830317,9.98611111111111,0.9154583333333334,0.1326160725637537,41.0,7,3,4,11,1,2,5,0,0,0,1,0,0,7
Washington,2016,9.705582258853637,9.208333333333334,1.04013,0.1272772493948517,43.0,7,3,4,11,1,4,5,0,0,0,1,0,0,7
Washington,2017,11.04620790418142,8.231481481481481,1.0314516666666667,0.1221968925228631,43.0,7,3,4,11,1,4,5,0,0,0,1,0,0,7
West Virginia,2015,17.643386444450474,11.745370370370368,1.0291233333333334,0.1798783285951163,24.0,1,2,6,0,2,1,5,0,0,0,0,0,0,7
West Virginia,2016,20.26189731095677,12.300925925925926,0.96012,0.1774088469038514,18.0,1,2,6,0,2,0,0,0,0,0,0,0,0,7
West Virginia,2017,20.25311997111729,12.226851851851853,0.9950450000000001,0.1777400723316763,18.0,1,2,6,0,2,0,0,0,0,0,0,0,0,7
Wisconsin,2015,18.347700201703194,7.12037037037037,0.7594599999999999,0.1295818217499489,23.0,0,1,5,0,0,2,5,0,2,0,1,0,1,6
Wisconsin,2016,14.066383629778327,7.8842592592592595,0.833755,0.1273312709676521,23.0,0,1,5,0,0,2,5,0,2,0,1,0,1,6
Wisconsin,2017,22.90081873017551,7.064814814814814,0.7952316666666667,0.1234218797632688,23.0,0,1,5,0,0,2,5,0,2,0,1,0,1,6
Wyoming,2015,33.127679884155576,6.75462962962963,0.35369500000000004,0.1149038181056383,8.0,0,2,1,0,0,3,0,0,0,0,1,0,1,0
Wyoming,2016,20.36921338890648,6.6157407407407405,0.36576000000000003,0.1155862713839523,8.0,0,2,1,0,0,3,0,0,0,0,1,0,1,0
Wyoming,2017,15.200429757604965,6.222222222222222,0.39497,0.1113394168018938,8.0,0,2,1,0,0,3,0,0,0,0,1,0,1,0
