state,year,is_weekend,n_incidents_per_day
Oklahoma,2016,0,0.06533370190400015
Oklahoma,2016,1,0.06920942998305099
Oklahoma,2017,0,0.06321628857895291
Oklahoma,2017,1,0.059352474675994846
Oregon,2014,0,0.04037096883260279
Oregon,2014,1,0.04168741346844853
Oregon,2015,0,0.05397472504440794
Oregon,2015,1,0.06067997568587722
Oregon,2016,0,0.04514845188726894
Oregon,2016,1,0.047390781875939404
Oregon,2017,0,0.04412975181324151
Oregon,2017,1,0.04647925248848354
Pennsylvania,2014,0,0.04621529243145675
Pennsylvania,2014,1,0.047970481990981806
Pennsylvania,2015,0,0.033945270354090076
Pennsylvania,2015,1,0.041766746182096796
Pennsylvania,2016,0,0.04245662901888026
Pennsylvania,2016,1,0.047759588216979405
Pennsylvania,2017,0,0.04179786749025936
Pennsylvania,2017,1,0.04927391122245618
Rhode Island,2014,0,0.13875048100166745
Rhode Island,2014,1,0.14953059356069426
Rhode Island,2015,0,0.1336197214291839
Rhode Island,2015,1,0.14951232816361235
Rhode Island,2016,0,0.12802607724202886
Rhode Island,2016,1,0.1351828144791609
Rhode Island,2017,0,0.12561531426130432
Rhode Island,2017,1,0.13261682358078686
South Carolina,2014,0,0.09054593125462333
South Carolina,2014,1,0.09716502547504677
South Carolina,2015,0,0.08882447192172295
South Carolina,2015,1,0.10161358926478149
South Carolina,2016,0,0.07853420569478413
South Carolina,2016,1,0.08206239836522526
South Carolina,2017,0,0.09118693042236174
South Carolina,2017,1,0.08952212132608658
South Dakota,2014,0,0.1432310304107169
South Dakota,2014,1,0.13739569213472472
South Dakota,2015,0,0.13558676899934252
South Dakota,2015,1,0.14988501009381866
South Dakota,2016,0,0.13768723077715853
South Dakota,2016,1,0.14122313429030958
South Dakota,2017,0,0.14320607468712337
South Dakota,2017,1,0.18037871535058944
Tennessee,2014,0,0.06435038716126015
Tennessee,2014,1,0.06099622333467289
Tennessee,2015,0,0.07091940588167447
Tennessee,2015,1,0.06812441612689966
Tennessee,2016,0,0.0805197607489509
Tennessee,2016,1,0.07740329565003316
Tennessee,2017,0,0.07360100057642924
Tennessee,2017,1,0.07192409130824462
Texas,2014,0,0.030324959556474386
Texas,2014,1,0.027208306845707853
Texas,2015,0,0.031118475143489144
Texas,2015,1,0.02919262621536254
Texas,2016,0,0.03310945025278232
Texas,2016,1,0.03224141223117379
Texas,2017,0,0.02465724213664232
Texas,2017,1,0.02760010058755683
Utah,2014,0,0.04325238698190393
Utah,2014,1,0.04830313578335338
Utah,2015,0,0.05052817029334845
Utah,2015,1,0.050609470647802746
Utah,2016,0,0.04361572143391254
Utah,2016,1,0.053353755641997985
Utah,2017,0,0.04260183891192679
Utah,2017,1,0.044339934770312686
Vermont,2014,0,0.19911549632344663
Vermont,2014,1,0.18902618652464306
Vermont,2015,0,0.18312511775640483
Vermont,2015,1,0.18455160358118694
Vermont,2016,0,0.17606460212685413
Vermont,2016,1,0.20524102190787566
Vermont,2017,0,0.17188773043503536
Vermont,2017,1,0.1601681124508284
Virginia,2014,0,0.040781459716006045
Virginia,2014,1,0.04341049423642761
Virginia,2015,0,0.04137861094155714
Virginia,2015,1,0.04747414637715874
Virginia,2016,0,0.047468932020595225
Virginia,2016,1,0.05270673529789408
Virginia,2017,0,0.04435434117907991
Virginia,2017,1,0.05170665373632216
Washington,2014,0,0.03134179171599333
Washington,2014,1,0.026256035586045345
Washington,2015,0,0.03815962230113016
Washington,2015,1,0.035518792209683465
Washington,2016,0,0.031167323904484148
Washington,2016,1,0.03404516034179118
Washington,2017,0,0.03317304297000867
Washington,2017,1,0.0358768076529536
West Virginia,2014,0,0.0870544725100696
West Virginia,2014,1,0.08203570712290502
West Virginia,2015,0,0.08338252014974082
West Virginia,2015,1,0.07755334700857353
West Virginia,2016,0,0.09237229814652016
West Virginia,2016,1,0.09133767260725006
West Virginia,2017,0,0.08366691619131451
West Virginia,2017,1,0.08890374569261353
Wisconsin,2014,0,0.0525315898195265
Wisconsin,2014,1,0.05723119810253222
Wisconsin,2015,0,0.050317924246758586
Wisconsin,2015,1,0.05919172912753822
Wisconsin,2016,0,0.044875162412616756
Wisconsin,2016,1,0.0483604116992584
Wisconsin,2017,0,0.06480044191503484
Wisconsin,2017,1,0.07292032107815229
Wyoming,2014,0,0.20599762072748057
Wyoming,2014,1,0.2043627189756752
Wyoming,2015,0,0.2397923746824159
Wyoming,2015,1,0.2352710369779663
Wyoming,2016,0,0.21396232551372354
Wyoming,2016,1,0.2567547906164683
Wyoming,2017,0,0.24310451632533192
Wyoming,2017,1,0.20727858760370407
