state,year,month,n_incidents,average_temperature
Idaho,2016,11,0.8915940512844899,3.7222222222222237
Idaho,2016,12,0.5943960341896599,-7.166666666666667
Idaho,2017,1,0.6403856285821572,-7.5
Idaho,2017,2,0.4657350026052051,-1.3888888888888888
Idaho,2017,3,0.6403856285821572,3.611111111111111
Idaho,2017,4,0.7568193792334584,4.61111111111111
Idaho,2017,5,0.5821687532565065,10.333333333333334
Idaho,2017,6,0.40751812727955455,15.055555555555555
Idaho,2017,7,0.5821687532565065,21.11111111111111
Idaho,2017,8,0.4657350026052051,19.388888888888893
Idaho,2017,9,1.0479037558617117,13.166666666666668
Idaho,2017,10,0.9896868805360609,5.499999999999999
Idaho,2017,11,0.8150362545591091,1.6111111111111103
Idaho,2017,12,1.1061206311873624,-3.7777777777777777
Illinois,2014,1,1.2418028400496628,-7.055555555555555
Illinois,2014,2,0.9468746655378679,-7.000000000000001
Illinois,2014,3,1.365983124054629,1.3333333333333326
Illinois,2014,4,2.017929615080702,11.333333333333334
Illinois,2014,5,2.351664128344049,17.61111111111111
Illinois,2014,6,2.2042000410881513,22.77777777777778
Illinois,2014,7,2.5534570898521194,21.27777777777778
Illinois,2014,8,2.3982317348459112,23.22222222222222
Illinois,2014,9,1.9247944020769772,18.166666666666668
Illinois,2014,10,2.2430063798397035,12.388888888888888
Illinois,2014,11,1.5212084790608371,1.4444444444444453
Illinois,2014,12,2.002407079580081,1.0555555555555547
Illinois,2015,1,1.6331084905854794,-3.5000000000000004
Illinois,2015,2,1.1353992363118097,-7.000000000000001
Illinois,2015,3,2.0452739667808624,3.4999999999999982
Illinois,2015,4,2.0841575022709926,12.388888888888888
Illinois,2015,5,2.6440804133288713,18.277777777777782
Illinois,2015,6,2.3718956648979583,22.055555555555557
Illinois,2015,7,2.589643463642689,23.444444444444443
Illinois,2015,8,2.5585366352505847,22.16666666666667
Illinois,2015,9,2.418555907486115,21.333333333333336
Illinois,2015,10,1.9908370170946799,13.333333333333334
Illinois,2015,11,1.9364000674084971,8.11111111111111
Illinois,2015,12,2.154147866153228,5.055555555555556
Illinois,2016,1,2.636397084144825,-2.833333333333334
Illinois,2016,2,1.856397946823871,0.9999999999999984
Illinois,2016,3,2.956196730446416,8.499999999999998
Illinois,2016,4,2.5895971359055676,11.666666666666666
Illinois,2016,5,3.299396350867636,16.666666666666668
Illinois,2016,6,3.143396523403445,23.77777777777778
Illinois,2016,7,3.6971959109013226,24.222222222222218
Illinois,2016,8,4.079395488188591,24.27777777777778
Illinois,2016,9,3.2213964371355406,21.555555555555557
Illinois,2016,10,3.6893959195281134,15.5
Illinois,2016,11,3.385196255972941,8.944444444444445
Illinois,2016,12,3.06539660967135,-1.722222222222223
Illinois,2017,1,3.4197189288407355,0.055555555555556344
Illinois,2017,2,2.715428989262552,5.055555555555556
Illinois,2017,3,2.4650147885236424,6.222222222222224
Illinois,2017,4,3.6857840171258274,13.61111111111111
Illinois,2017,5,3.6701331295796455,16.61111111111111
Illinois,2017,6,3.6466567982603726,22.61111111111111
Illinois,2017,7,3.6544822420334633,24.499999999999996
Illinois,2017,8,3.4197189288407355,21.38888888888889
Illinois,2017,9,3.177130171874917,20.444444444444443
Illinois,2017,10,3.106701177917099,14.5
Illinois,2017,11,2.4884911198429154,5.499999999999999
Illinois,2017,12,2.4571893447505517,-1.2222222222222219
Indiana,2014,1,1.6076087820331217,-7.000000000000001
Indiana,2014,2,1.425615335010504,-5.555555555555555
Indiana,2014,3,1.6986055055444305,1.1666666666666674
Indiana,2014,4,1.4104492144252858,11.333333333333334
Indiana,2014,5,1.182957405647014,17.166666666666668
Indiana,2014,6,1.5166120585218128,22.555555555555554
Indiana,2014,7,1.2132896468174503,20.611111111111107
Indiana,2014,8,1.2587880085731047,22.444444444444446
Indiana,2014,9,1.5621104202774672,17.77777777777778
Indiana,2014,10,1.4104492144252858,12.111111111111109
Indiana,2014,11,1.1677912850617957,2.000000000000001
Indiana,2014,12,1.4711136967661584,1.4444444444444453
Indiana,2015,1,1.3618984986128309,-3.7222222222222223
Indiana,2015,2,0.9533289490289815,-7.055555555555555
